date,sentiment,sentiment_score
2022-09-23,neutral,-0.128
2022-09-23,negative,-0.3182
2022-09-23,neutral,0.0
2022-09-23,negative,-0.296
2022-09-22,negative,-0.8225
2022-09-22,negative,-0.7579
2022-09-22,neutral,0.0
2022-09-22,neutral,0.0
2022-09-22,positive,0.4215
2022-09-21,negative,-0.9153
2022-09-21,positive,0.2023
2022-09-21,negative,-0.4019
2022-09-21,neutral,0.0
2022-09-21,neutral,0.128
2022-09-21,positive,0.8442
2022-09-20,negative,-0.6249
2022-09-20,neutral,0.0
2022-09-20,neutral,0.0516
2022-09-20,negative,-0.5994
2022-09-20,neutral,-0.0772
2022-09-20,negative,-0.25
2022-09-19,negative,-0.4019
2022-09-19,negative,-0.4939
2022-09-19,negative,-0.3612
2022-09-19,neutral,-0.0516
2022-09-19,neutral,0.0
2022-09-19,positive,0.5994
2022-09-18,negative,-0.2263
2022-09-18,neutral,0.1779
2022-09-18,neutral,0.0
2022-09-18,negative,-0.296
2022-09-18,positive,0.5574
2022-09-18,neutral,0.0
2022-09-17,negative,-0.3818
2022-09-17,neutral,0.0
2022-09-17,neutral,0.0
2022-09-17,negative,-0.6124
2022-09-17,neutral,0.0
2022-09-16,negative,-0.3612
2022-09-16,positive,0.3182
2022-09-16,neutral,-0.128
2022-09-16,negative,-0.7783
2022-09-16,positive,0.2732
2022-09-16,negative,-0.2732
2022-09-15,negative,-0.5859
2022-09-15,neutral,-0.1531
2022-09-15,positive,0.4215
2022-09-15,positive,0.5859
2022-09-15,positive,0.4019
2022-09-15,positive,0.4215
2022-09-14,positive,0.2263
2022-09-14,positive,0.4215
2022-09-14,neutral,0.1779
2022-09-14,negative,-0.5207
2022-09-14,neutral,0.128
2022-09-14,neutral,0.0
2022-09-13,neutral,0.0
2022-09-13,positive,0.6369
2022-09-13,positive,0.6705
2022-09-13,negative,-0.9153
2022-09-12,neutral,0.0
2022-09-12,neutral,0.0
2022-09-12,positive,0.4404
2022-09-12,positive,0.4215
2022-09-12,positive,0.3818
2022-09-12,positive,0.2263
2022-09-11,positive,0.5106
2022-09-11,negative,-0.4019
2022-09-11,positive,0.34
